"Country.Name","Country.Code","Current.smoking","Daily.smoking"
"Albania","ALB",29.7,23.8
"Andorra","AND",33.1,27.9
"Argentina","ARG",25.3,18.1
"Armenia","ARM",28,24.7
"Australia","AUS",16,13.7
"Azerbaijan","AZE",23.5,18.6
"Bahrain","BHR",30.3,27.1
"Bangladesh","BGD",21.8,19.6
"Barbados","BRB",7,5
"Belarus","BLR",27.9,22.6
"Belgium","BEL",23.9,19.7
"Benin","BEN",8.8,7.4
"Bosnia and Herzegovina","BIH",39.2,32.1
"Brazil","BRA",16.1,12.7
"Brunei Darussalam","BRN",16.4,12.9
"Bulgaria","BGR",36.8,30
"Burkina Faso","BFA",19.1,16.2
"Cabo Verde","CPV",12.2,9.7
"Cambodia","KHM",23,19.8
"Cameroon","CMR",18.8,13.6
"Canada","CAN",16.2,11.9
"Chile","CHL",38.9,27.5
"China","CHN",25.9,22.4
"Colombia","COL",11.6,8.1
"Comoros","COM",15.3,12.5
"Congo, Dem. Rep.","COD",18.5,13
"Costa Rica","CRI",14.2,8.3
"Croatia","HRV",36,31.1
"Cuba","CUB",36.1,23.4
"Czech Republic","CZE",33.4,24.7
"Denmark","DNK",18.9,15.6
"Dominican Republic","DOM",14.5,11.3
"Ecuador","ECU",9,4.5
"Egypt","EGY",23.8,20.3
"Estonia","EST",33.2,26.1
"Ethiopia","ETH",4.7,3.3
"Fiji","FJI",26.5,18.1
"Finland","FIN",21.8,16.8
"France","FRA",28.1,23.5
"Georgia","GEO",30,24
"Germany","DEU",30.7,24.2
"Ghana","GHA",6.3,4.9
"Greece","GRC",43.4,35.2
"Haiti","HTI",11.8,8.6
"Honduras","HND",18.9,11.1
"Hungary","HUN",29.6,25.1
"Iceland","ISL",17.5,13.1
"India","IND",12.4,10.7
"Indonesia","IDN",38.5,33.1
"Iran, Islamic Rep.","IRN",11.7,10.4
"Ireland","IRL",23.2,19.2
"Israel","ISR",30.4,23.3
"Italy","ITA",24.2,22
"Jamaica","JAM",17.6,13
"Japan","JPN",22.8,18.1
"Jordan","JOR",38.4,31
"Kazakhstan","KAZ",26.3,17.4
"Kenya","KEN",13.6,9.8
"Kiribati","KIR",54,45.6
"Korea, Rep.","KOR",27.4,25.7
"Kyrgyz Republic","KGZ",26.4,20.9
"Lao PDR","LAO",34,29
"Latvia","LVA",35.9,30
"Lebanon","LBN",37,28.7
"Lesotho","LSO",25.4,19.9
"Liberia","LBR",14.2,11.2
"Lithuania","LTU",30.1,23.6
"Luxembourg","LUX",24.4,18.8
"Malawi","MWI",16.3,11.9
"Malaysia","MYS",22.3,18.2
"Mali","MLI",18.6,14.9
"Malta","MLT",25.9,20.7
"Mauritania","MRT",22.3,19
"Mauritius","MUS",21.9,16
"Mexico","MEX",14.5,8.3
"Moldova","MDA",23.8,20.1
"Mongolia","MNG",26.8,22.7
"Morocco","MAR",22,17.9
"Mozambique","MOZ",18.8,13.4
"Myanmar","MMR",20,15.8
"Namibia","NAM",23.8,18.9
"Nauru","NRU",48.9,39.8
"Nepal","NPL",24.6,18.1
"Netherlands","NLD",25.7,19.6
"New Zealand","NZL",17.6,15.5
"Niger","NER",8.4,6
"Nigeria","NGA",8.9,7
"Norway","NOR",24.1,17.2
"Oman","OMN",13.5,10.9
"Pakistan","PAK",22.6,18.6
"Panama","PAN",7.4,3.9
"Paraguay","PRY",19.5,11.9
"Philippines","PHL",26.7,20.6
"Poland","POL",29.4,23.2
"Portugal","PRT",22.6,17.7
"Romania","ROU",30.5,25.7
"Russian Federation","RUS",39.5,33.4
"Samoa","WSM",32,24.4
"Saudi Arabia","SAU",17.1,14.5
"Senegal","SEN",11.1,9.5
"Serbia","SRB",42.1,33.5
"Seychelles","SYC",26.7,20.7
"Sierra Leone","SLE",34.4,25.7
"Singapore","SGP",16.2,13.2
"Slovak Republic","SVK",28.8,22
"Slovenia","SVN",20.9,17.7
"South Africa","ZAF",18.9,16.1
"Spain","ESP",30.3,25.7
"Sri Lanka","LKA",14.1,10.9
"Swaziland","SWZ",10.2,7.1
"Sweden","SWE",21.9,11.8
"Switzerland","CHE",24.1,19.5
"Tanzania","TZA",16.3,11.9
"Thailand","THA",21.5,18.2
"Tonga","TON",30.2,25.8
"Turkey","TUR",27,22.4
"Uganda","UGA",10.3,6.6
"Ukraine","UKR",30.7,25.4
"United Kingdom","GBR",20.3,20.3
"United States","USA",18.1,14.3
"Uruguay","URY",24.8,18.9
"Uzbekistan","UZB",13.3,10.4
"Vietnam","VNM",23.7,19.2
"Zambia","ZMB",15.9,10.5
