Country.Name,Country.Code,X2016
Afghanistan,AFG,23
Albania,ALB,57.7
Algeria,DZA,62
Andorra,AND,63.7
Angola,AGO,27.5
Antigua and Barbuda,ATG,48
Argentina,ARG,62.7
Armenia,ARM,54.4
Australia,AUS,64.5
Austria,AUT,54.3
Azerbaijan,AZE,53.6
Bahrain,BHR,65.8
Bangladesh,BGD,20
Barbados,BRB,52.4
Belarus,BLR,59.4
Belgium,BEL,59.5
Belize,BLZ,54.8
Benin,BEN,29.5
Bhutan,BTN,27.1
Bolivia,BOL,56.1
Bosnia and Herzegovina,BIH,53.3
Botswana,BWA,43.4
Brazil,BRA,56.5
Brunei Darussalam,BRN,41.2
Bulgaria,BGR,61.7
Burkina Faso,BFA,23.2
Burundi,BDI,22.2
Cabo Verde,CPV,34.8
Cambodia,KHM,21.7
Cameroon,CMR,33.6
Canada,CAN,64.1
Central African Republic,CAF,26.2
Chad,TCD,23.1
Chile,CHL,63.1
China,CHN,32.3
Colombia,COL,59
Comoros,COM,27.1
"Congo, Dem. Rep.",COD,30.9
Costa Rica,CRI,61.6
Cote d'Ivoire,CIV,31.6
Croatia,HRV,59.6
Cuba,CUB,58.5
Cyprus,CYP,59.1
Czech Republic,CZE,62.3
Denmark,DNK,55.4
Djibouti,DJI,38.6
Dominica,DMA,60.3
Dominican Republic,DOM,61.2
Ecuador,ECU,56
El Salvador,SLV,59.9
Equatorial Guinea,GNQ,26.7
Eritrea,ERI,22
Estonia,EST,55.8
Ethiopia,ETH,20.9
Fiji,FJI,63.8
Finland,FIN,57.9
France,FRA,59.5
Gabon,GAB,40.2
Georgia,GEO,54.2
Germany,DEU,56.8
Ghana,GHA,32
Greece,GRC,62.3
Grenada,GRD,51.4
Guatemala,GTM,55.9
Guinea,GIN,26.6
Guinea-Bissau,GNB,29.9
Guyana,GUY,49.4
Haiti,HTI,54.9
Honduras,HND,55.8
Hungary,HUN,61.6
Iceland,ISL,59.1
India,IND,19.7
Indonesia,IDN,28.2
"Iran, Islamic Rep.",IRN,61.6
Iraq,IRQ,64.6
Ireland,IRL,60.6
Israel,ISR,64.3
Italy,ITA,58.5
Jamaica,JAM,55.5
Japan,JPN,27.2
Jordan,JOR,69.6
Kazakhstan,KAZ,53.6
Kenya,KEN,25.5
Kiribati,KIR,78.7
"Korea, Rep.",KOR,30.3
Kuwait,KWT,73.4
Lao PDR,LAO,25.4
Latvia,LVA,57.8
Lebanon,LBN,67.9
Lesotho,LSO,38.7
Liberia,LBR,30.9
Libya,LBY,66.8
Lithuania,LTU,59.6
Luxembourg,LUX,58.7
"Macedonia, FYR",MKD,58.1
Madagascar,MDG,23.9
Malawi,MWI,23.4
Malaysia,MYS,42.5
Maldives,MDV,30.6
Mali,MLI,28.1
Malta,MLT,66.4
Marshall Islands,MHL,83.5
Mauritania,MRT,34.4
Mauritius,MUS,32.3
Mexico,MEX,64.9
"Micronesia, Fed. Sts.",FSM,75.9
Moldova,MDA,51.8
Mongolia,MNG,55.6
Montenegro,MNE,59.4
Morocco,MAR,60.4
Mozambique,MOZ,26.4
Myanmar,MMR,24.8
Namibia,NAM,40.6
Nauru,NRU,88.5
Nepal,NPL,21
Netherlands,NLD,57.8
New Zealand,NZL,65.6
Nicaragua,NIC,58.2
Niger,NER,22
Nigeria,NGA,28.9
Norway,NOR,58.3
Oman,OMN,62.6
Pakistan,PAK,28.4
Palau,PLW,85.1
Panama,PAN,58.8
Papua New Guinea,PNG,52.9
Paraguay,PRY,53.5
Peru,PER,57.5
Philippines,PHL,27.6
Poland,POL,58.3
Portugal,PRT,57.5
Qatar,QAT,71.7
Romania,ROU,57.7
Russian Federation,RUS,57.1
Rwanda,RWA,25.1
Samoa,WSM,77.6
Sao Tome and Principe,STP,35.4
Saudi Arabia,SAU,69.7
Senegal,SEN,28.4
Serbia,SRB,57.1
Seychelles,SYC,36.8
Sierra Leone,SLE,27.7
Singapore,SGP,31.8
Slovenia,SVN,56.1
Solomon Islands,SLB,55
Somalia,SOM,28.4
South Africa,ZAF,53.8
Spain,ESP,61.6
Sri Lanka,LKA,23.3
St. Kitts and Nevis,KNA,52.3
St. Lucia,LCA,48.1
St. Vincent and the Grenadines,VCT,55
Sudan,SDN,28.9
Suriname,SUR,58.9
Swaziland,SWZ,38.4
Sweden,SWE,56.4
Switzerland,CHE,54.3
Syrian Arab Republic,SYR,61.4
Tajikistan,TJK,45.3
Tanzania,TZA,27.7
Thailand,THA,32.6
Timor-Leste,TLS,21.6
Togo,TGO,28.1
Tonga,TON,78.5
Trinidad and Tobago,TTO,46
Tunisia,TUN,61.6
Turkey,TUR,66.8
Turkmenistan,TKM,51.8
Tuvalu,TUV,81.9
Uganda,UGA,22.4
Ukraine,UKR,58.4
United Arab Emirates,ARE,67.8
United Kingdom,GBR,63.7
United States,USA,67.9
Uruguay,URY,62.9
Uzbekistan,UZB,48.2
Vanuatu,VUT,57.1
"Venezuela, RB",VEN,63.4
Vietnam,VNM,18.3
"Yemen, Rep.",YEM,48.8
Zambia,ZMB,27.8
Zimbabwe,ZWE,38.2
